panel,panel_title,row_type,condition,base,width_label,parameters,seed,subject,cc,mean_cc,sd_cc,ci95_low,ci95_high,source_file,aggregation
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,2,b2,1048,,A06,0.6977217197418213,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,4,b4,3218,,A06,0.7174489961730109,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,6,b6,6532,,A06,0.7208980454338921,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,8,b8,10990,,A06,0.7207813130484687,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,16,b16,40262,,A06,0.718599345948961,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,2,b2,1048,,A07,0.7513853046629164,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,4,b4,3218,,A07,0.7872412602106731,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,6,b6,6532,,A07,0.7906558977233039,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,8,b8,10990,,A07,0.7951702210638258,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,16,b16,40262,,A07,0.7937671211030748,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,2,b2,1048,,A08,0.7457658582263522,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,4,b4,3218,,A08,0.7764474749565125,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,6,b6,6532,,A08,0.7806143893135918,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,8,b8,10990,,A08,0.7678575846883986,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,16,b16,40262,,A08,0.7604184084468417,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,2,b2,1048,,A09,0.7540799842940437,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,4,b4,3218,,A09,0.7852792077594334,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,6,b6,6532,,A09,0.7867530783017477,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,8,b8,10990,,A09,0.786063724093967,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,16,b16,40262,,A09,0.7853515942891439,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_summary,BCI_IV2a,2,b2,1048,,,,0.7014665868547227,0.06247291571480483,0.6603148461491974,0.7375098442221865,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv,subject-bootstrap CI over nine subject-level means
C,BCI IV-2a zero-shot,subject_summary,BCI_IV2a,4,b4,3218,,,,0.7343563739164376,0.061981141679026,0.6944034680908109,0.7715444393915895,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv,subject-bootstrap CI over nine subject-level means
C,BCI IV-2a zero-shot,subject_summary,BCI_IV2a,6,b6,6532,,,,0.7373700907200943,0.06459688367296672,0.6959224047668185,0.7740043783077488,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv,subject-bootstrap CI over nine subject-level means
C,BCI IV-2a zero-shot,subject_summary,BCI_IV2a,8,b8,10990,,,,0.7374883757697211,0.06225559766876305,0.6981973545050916,0.7748721937890407,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv,subject-bootstrap CI over nine subject-level means
C,BCI IV-2a zero-shot,subject_summary,BCI_IV2a,16,b16,40262,,,,0.7346726126141018,0.0623574223935307,0.6963431595468227,0.7723117309955903,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_summary.csv,subject-bootstrap CI over nine subject-level means
